Lat,Long,Month,Day,Year,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
22.8,-158,2,19,1997,0.144,0.057,0.008,0.008,0.002,0.003,0.001,NaN,0.051
22.8,-158,12,20,2000,0.127,0.042,0.007,0.013,0.005,0.006,0.001,NaN,0.088
22.8,-158,6,30,2002,0.099,0.033,0.012,0.013,0.004,0.005,0.001,NaN,0.081
22.8,-158,2,27,2003,0.106,0.032,0.009,0.012,0.005,0.008,0.001,NaN,0.062
22.8,-158,3,30,2003,0.094,0.026,0.009,0.012,0.004,0.007,0.001,NaN,0.063
22.8,-158,6,17,2004,0.141,0.028,0.011,0.019,0.005,0.008,0.001,NaN,0.105
22.8,-158,11,12,2005,0.152,0.053,0.007,0.012,0.005,0.006,0.001,NaN,0.058
31.412,-64.349,3,19,1994,0.162,NaN,0.02,0.044,0.018,0.014,0,0.01,NaN
10.804,64.9969,8,30,1995,0.253,0.08,0.019,0.043,0.018,0.009,0.005,0.001,0.076
18.3797,59.1396,11,22,1995,0.447,0.141,0.058,0.142,0.044,0.024,0.006,0.004,0.118
19.2822,60.32,11,23,1995,0.46,0.08,0.031,0.156,0.057,0.028,0.027,0.005,0.079
18.2662,67.5661,12,6,1995,0.365,0.02,0.038,0.139,0.038,0.035,0.006,0.002,0.111
1.1369,-140.154,2,20,1992,0.147,NaN,0.026,0.057,0.016,0.006,0.004,0,0.057
-6.989,-138.8427,3,6,1992,0.129,NaN,0.034,0.058,0.007,0.007,0.003,0,0.077
0.004,-140.0053,3,26,1992,0.151,NaN,0.018,0.048,0.014,0.008,0.01,0,0.048
0.0168,-140.03,10,14,1992,0.177,NaN,0.015,0.057,0.022,0.025,0.005,0,0.063
46.9207,-15.4308,6,11,1990,1.0689,NaN,0.04288,0.78566,0.12884,0.12229,0.09059,NaN,NaN
46.14096,-16.45094,6,15,1990,0.8497,NaN,0.05278,0.44001,0.11415,0.12337,0.094,NaN,NaN
-64.7802,-64.07463333,10,26,2000,9.54853,NaN,0,0.185561972,0.174669749,59.56431213,NaN,0.062668421,0.015140292
-64.81543333,-64.04236667,11,27,2000,0.48607,NaN,0.047679036,0.136579879,0.200780721,0.457024565,NaN,0.050830486,0.003702077
-64.81531667,-64.03928333,11,30,2000,0.65736,NaN,0.069818123,0.116116928,0.256207182,0.536343828,NaN,0.061926792,0.004175836
-64.76291667,-64.07216667,11,30,2000,0.7204,NaN,0.062483216,0.149602453,0.255334642,0.485311138,NaN,0.090432166,0.004373142
-64.81488333,-64.04386667,12,14,2000,0.86942,NaN,0,0.056617213,0.580109917,1.166525588,NaN,0.021916039,0.00734217
-64.81476667,-64.04165,12,18,2000,0.3541,NaN,0,0.043008103,0.125401334,0.670070462,NaN,0.004014065,0.00366321
-64.7797,-64.07366667,12,26,2000,0.68831,NaN,0.031111624,0.056919211,0.034410205,1.814141907,NaN,0.005870867,0.004126223
-64.7794,-64.07311667,12,29,2000,1.0346,NaN,0,0.053960239,0,5.259809269,NaN,0.013497608,0
-64.81548333,-64.0401,2,6,2001,1.16807,NaN,0,0,0,3.240773503,NaN,0.009606662,0.005405735
-64.81698333,-64.04551667,2,15,2001,1.15357,NaN,0,0.073415194,0.166654022,2.968974939,NaN,0.046601785,0.009890382
-64.81471667,-64.03996667,3,5,2001,0.60696,NaN,0.018053082,0.079013712,0.228729679,0.618214828,NaN,0.029251142,0.006351823
-64.8157,-64.03951667,3,9,2001,0.79111,NaN,0.037019538,0.138797407,0.451522021,1.238423213,NaN,0.012340627,0.00639469
-64.77148333,-64.0747,3,15,2001,1.8897,NaN,0.070404257,0.149356413,1.443626687,3.313274364,NaN,0.013446922,0.010407892
-64.81446667,-64.03408333,3,20,2001,1.79526,NaN,0.065627476,0.124396494,1.131103253,2.855791198,NaN,0.016041507,0.007769124
-46.76666667,-64.06666667,2,24,1995,19.0876,NaN,0.1075,0.0565,0,8.3105,0.0202,1.64,0
-64.7795,-64.07266667,3,18,1996,1.2101,NaN,0.0346,0.0485,0.1933,0.6578,0.1986,0,0.0354
-64.779,-64.073,1,16,1998,2.065,NaN,0.0064,0.0661,0.0037,0.0308,0,0.4677,0
-64.7789,-64.07325,2,2,2000,2.66059,NaN,0.005468594,0.0162888,0.066710398,0.646787579,0.973403547,NaN,0.013890588
-66.11316667,-70.78066667,4,21,1993,0.20238,NaN,0.025026,0.035011,0.027952,0.050262,0.002769,0,0.003087
-67.2475,-71.21616667,4,24,1993,0.17336,NaN,0.005702,0.039767,0.01576,0.137161,0.008466,0,0
-67.8302,-68.90158333,1,18,2000,11.75546,NaN,0.265018492,0.095315746,0.043150869,7.484769451,0.012267543,NaN,0.032830546
-67.837,-68.131,1,22,2001,3.30218,NaN,0,0,0,15.9178652,NaN,0.037368869,0.05301342
-64.738,-67.991,1,11,2003,0.334,NaN,0.02,0.119,0.022,0.178,0,0.009,0.003
-66.114,-70.78,1,23,2003,0.241,NaN,0.004,0.113,0.024,0.139,0.006,0.007,0.002
-65.975,-66.357,1,17,2004,0.234,NaN,0.002,0.067,0.031,0.05,0.009,0.351,0
-65.233,-69.809,1,20,2004,0.045,NaN,0.003,0.049,0.008,0.034,0.006,0.021,0.005
-66.895,-68.926,1,30,2004,0.192,NaN,0,0.142,0.039,0.049,0,0.157,0
-66.847,-72.135,2,7,1998,0.3151,NaN,0,0.1213,0.0319,0.1383,0,0.0373,0
